"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"1","tt0063442","Fri Jan 14 11:08:51 2011","Fri Jan 14 11:08:51 2011","","Planet of the Apes","Feature Film","Franklin J. Schaffner","8.0","112","1968","action, mystery, sci_fi","87581","1968-02-08","http://www.imdb.com/title/tt0063442/"
"2","tt0081398","Fri Jan 14 11:09:03 2011","Fri Jan 14 11:09:03 2011","","Raging Bull","Feature Film","Martin Scorsese","8.4","129","1980","biography, drama, sport","134266","1980-11-14","http://www.imdb.com/title/tt0081398/"
"3","tt0434409","Fri Jan 14 11:09:11 2011","Fri Jan 14 11:09:11 2011","","V for Vendetta","Feature Film","James McTeigue","8.2","132","2005","action, sci_fi, thriller","402153","2005-12-11","http://www.imdb.com/title/tt0434409/"
"4","tt0315733","Fri Jan 14 11:09:19 2011","Fri Jan 14 11:09:19 2011","","21 Grams","Feature Film","Alejandro González Iñárritu","7.8","124","2003","crime, drama, thriller","122294","2003-09-05","http://www.imdb.com/title/tt0315733/"
"5","tt0042192","Fri Jan 14 11:09:28 2011","Fri Jan 14 11:09:28 2011","","All About Eve","Feature Film","Joseph L. Mankiewicz","8.4","138","1950","drama","48839","1950-10-13","http://www.imdb.com/title/tt0042192/"
"6","tt0020629","Fri Jan 14 11:09:36 2011","Fri Jan 14 11:09:36 2011","","All Quiet on the Western Front","Feature Film","Lewis Milestone","8.1","136","1930","drama, war","31932","1930-04-21","http://www.imdb.com/title/tt0020629/"
"7","tt0245712","Fri Jan 14 11:10:06 2011","Fri Jan 14 11:10:06 2011","","Amores Perros","Feature Film","Alejandro González Iñárritu","8.1","154","2000","drama","100010","2000-05-14","http://www.imdb.com/title/tt0245712/"
"8","tt0075686","Fri Jan 14 11:10:14 2011","Fri Jan 14 11:10:14 2011","","Annie Hall","Feature Film","Woody Allen","8.2","93","1977","comedy, drama, romance","103447","1977-04-20","http://www.imdb.com/title/tt0075686/"
"9","tt0103767","Fri Jan 14 11:10:23 2011","Fri Jan 14 11:10:23 2011","","Baraka","Documentary","Ron Fricke","8.3","96","1992","documentary, war","15474","1992-09-15","http://www.imdb.com/title/tt0103767/"
"10","tt0171804","Fri Jan 14 11:10:56 2011","Fri Jan 14 11:10:56 2011","","Boys Don't Cry","Feature Film","Kimberly Peirce","7.5","118","1999","drama","50046","1999-09-02","http://www.imdb.com/title/tt0171804/"
"11","tt0087003","Fri Jan 14 11:11:04 2011","Fri Jan 14 11:11:04 2011","","Broadway Danny Rose","Feature Film","Woody Allen","7.4","84","1984","comedy, drama","11522","1984-01-27","http://www.imdb.com/title/tt0087003/"
"12","tt0021749","Fri Jan 14 11:11:11 2011","Fri Jan 14 11:11:11 2011","","City Lights","Feature Film","Charles Chaplin","8.6","87","1931","comedy, drama, romance","49785","1931-01-30","http://www.imdb.com/title/tt0021749/"
"13","tt0066921","Fri Jan 14 11:11:19 2011","Fri Jan 14 11:11:19 2011","","A Clockwork Orange","Feature Film","Stanley Kubrick","8.5","136","1971","crime, drama, sci_fi","293517","1971-12-19","http://www.imdb.com/title/tt0066921/"
"14","tt0468569","Fri Jan 14 11:11:28 2011","Fri Jan 14 11:11:28 2011","","The Dark Knight","Feature Film","Christopher Nolan","9.0","152","2008","action, crime, drama, thriller","828624","2008-07-14","http://www.imdb.com/title/tt0468569/"
"15","tt0118954","Fri Jan 14 11:11:36 2011","Fri Jan 14 11:11:36 2011","","Deconstructing Harry","Feature Film","Woody Allen","7.3","96","1997","comedy, drama, fantasy, romance","23344","1997-08-26","http://www.imdb.com/title/tt0118954/"
"16","tt0092337","Fri Jan 14 11:12:03 2011","Fri Jan 14 11:12:03 2011","","The Decalogue","Mini-Series","","9.1","","1988","drama","7368","1988","http://www.imdb.com/title/tt0092337/"
"17","tt0363163","Fri Jan 14 11:12:12 2011","Fri Jan 14 11:12:12 2011","","Downfall","Feature Film","Oliver Hirschbiegel","8.3","156","2004","biography, drama, history, war","136430","2004-09-08","http://www.imdb.com/title/tt0363163/"
"18","tt0109830","Fri Jan 14 11:12:19 2011","Fri Jan 14 11:12:19 2011","","Forrest Gump","Feature Film","Robert Zemeckis","8.7","142","1994","drama, romance","550551","1994-06-23","http://www.imdb.com/title/tt0109830/"
"19","tt0450188","Fri Jan 14 11:12:29 2011","Fri Jan 14 11:12:29 2011","","La vie en rose","Feature Film","Olivier Dahan","7.6","140","2007","biography, drama, music","36537","2007-02-08","http://www.imdb.com/title/tt0450188/"
"20","tt0116922","Fri Jan 14 11:12:37 2011","Fri Jan 14 11:12:37 2011","","Lost Highway","Feature Film","David Lynch","7.6","134","1997","drama, mystery, thriller","60605","1997-01-15","http://www.imdb.com/title/tt0116922/"
"21","tt0022100","Fri Jan 14 11:12:47 2011","Fri Jan 14 11:12:47 2011","","M","Feature Film","Fritz Lang","8.5","117","1931","drama, film_noir, thriller","58161","1931-05-11","http://www.imdb.com/title/tt0022100/"
