"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"1","tt0092991","Tue Aug 28 16:01:07 2012","Tue Aug 28 16:01:07 2012","","Evil Dead II","Feature Film","Sam Raimi","7.8","84","1987","horror","65722","1987-03-13","http://www.imdb.com/title/tt0092991/"
"2","tt0083907","Mon Aug 27 18:56:32 2012","Tue Aug 28 16:01:42 2012","","The Evil Dead","Feature Film","Sam Raimi","7.6","85","1981","horror","73389","1981-10-15","http://www.imdb.com/title/tt0083907/"
"3","tt0106308","Tue Aug 28 16:02:46 2012","Tue Aug 28 16:02:46 2012","","Army of Darkness","Feature Film","Sam Raimi","7.6","81","1992","comedy, fantasy, horror","78693","1992-10-09","http://www.imdb.com/title/tt0106308/"
"4","tt0762073","Mon Aug 27 18:54:38 2012","Mon Aug 27 18:54:38 2012","","Thirst","Feature Film","Chan-wook Park","7.1","133","2009","horror","17476","2009-04-30","http://www.imdb.com/title/tt0762073/"
"5","tt0361668","Mon Aug 27 21:14:39 2012","Mon Aug 27 21:14:39 2012","","Gozu","Feature Film","Takashi Miike","7.1","129","2003","crime, drama, horror, mystery, thriller","5684","2003-05-17","http://www.imdb.com/title/tt0361668/"
"6","tt0112922","Mon Aug 27 19:49:58 2012","Mon Aug 27 19:49:58 2012","","The Day of the Beast","Feature Film","Alex de la Iglesia","7.5","103","1995","action, comedy, crime, horror, thriller","7393","1995-09-15","http://www.imdb.com/title/tt0112922/"
"7","tt0144084","Tue Aug 28 09:35:40 2012","Tue Aug 28 09:35:40 2012","","American Psycho","Feature Film","Mary Harron","7.6","102","2000","crime, drama","184468","2000-01-21","http://www.imdb.com/title/tt0144084/"
"8","tt0101700","Mon Aug 27 20:33:12 2012","Mon Aug 27 20:33:12 2012","","Delicatessen","Feature Film","Marc Caro, Jean-Pierre Jeunet","7.8","99","1991","comedy, fantasy, sci_fi","42607","1991-04-17","http://www.imdb.com/title/tt0101700/"
"9","tt0365748","Mon Aug 27 18:52:40 2012","Mon Aug 27 18:52:40 2012","","Shaun of the Dead","Feature Film","Edgar Wright","8.0","99","2004","comedy, horror","220489","2004-03-29","http://www.imdb.com/title/tt0365748/"
"10","tt0304262","Mon Aug 27 18:56:52 2012","Mon Aug 27 18:56:52 2012","","The Happiness of the Katakuris","Feature Film","Takashi Miike","7.1","113","2001","comedy, horror, musical, romance, thriller","5028","2001-10-31","http://www.imdb.com/title/tt0304262/"
