"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"1","tt0211915","Fri Jul  6 02:00:54 2012","Fri Jul  6 02:00:54 2012","","Amélie","Feature Film","Jean-Pierre Jeunet","8.5","122","2001","comedy, romance","288961","2001-04-25","http://www.imdb.com/title/tt0211915/"
"2","tt0088763","Fri Jul  6 02:02:38 2012","Fri Jul  6 02:02:38 2012","","Back to the Future","Feature Film","Robert Zemeckis","8.5","116","1985","adventure, comedy, sci_fi","343682","1985-07-03","http://www.imdb.com/title/tt0088763/"
"3","tt0046359","Sun Jul 15 13:56:13 2012","Sun Jul 15 13:56:13 2012","","Stalag 17","Feature Film","Billy Wilder","8.1","120","1953","comedy, drama, thriller, war","28374","1953-05-29","http://www.imdb.com/title/tt0046359/"
"4","tt0365748","Sun Jul 15 13:59:34 2012","Sun Jul 15 13:59:34 2012","","Shaun of the Dead","Feature Film","Edgar Wright","8.0","99","2004","comedy, horror","220489","2004-03-29","http://www.imdb.com/title/tt0365748/"
"5","tt0449059","Sun Jul 15 13:59:51 2012","Sun Jul 15 13:59:51 2012","","Little Miss Sunshine","Feature Film","Jonathan Dayton, Valerie Faris","7.9","101","2006","adventure, comedy, drama","217920","2006-01-20","http://www.imdb.com/title/tt0449059/"
"6","tt0425112","Sun Jul 15 14:00:09 2012","Sun Jul 15 14:00:09 2012","","Hot Fuzz","Feature Film","Edgar Wright","7.9","121","2007","action, comedy","196520","2007-02-14","http://www.imdb.com/title/tt0425112/"
"7","tt0027977","Sun Jul 15 14:03:58 2012","Sun Jul 15 14:03:58 2012","","Modern Times","Feature Film","Charlie Chaplin","8.6","87","1936","comedy, drama, family","62426","1936-02-05","http://www.imdb.com/title/tt0027977/"
"8","tt0053291","Sun Jul 15 14:04:23 2012","Sun Jul 15 14:04:23 2012","","Some Like It Hot","Feature Film","Billy Wilder","8.4","120","1959","comedy","100170","1959-03-29","http://www.imdb.com/title/tt0053291/"
"9","tt0032553","Sun Jul 15 14:04:49 2012","Sun Jul 15 14:04:49 2012","","The Great Dictator","Feature Film","Charles Chaplin","8.5","125","1940","comedy, drama, war","61851","1940-10-15","http://www.imdb.com/title/tt0032553/"
"10","tt0264464","Sun Jul 15 14:04:59 2012","Sun Jul 15 14:04:59 2012","","Catch Me If You Can","Feature Film","Steven Spielberg","7.9","141","2002","biography, comedy, crime, drama","240257","2002-12-16","http://www.imdb.com/title/tt0264464/"
"11","tt0053604","Sun Jul 15 14:06:09 2012","Sun Jul 15 14:06:09 2012","","The Apartment","Feature Film","Billy Wilder","8.4","125","1960","romance, comedy, drama","57830","1960-06-15","http://www.imdb.com/title/tt0053604/"
