"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"1","tt0118849","Sun Jul  1 23:29:29 2012","Sun Jul  1 23:29:29 2012","","Children of Heaven","Feature Film","Majid Majidi","8.2","89","1997","drama","12965","1997-08","http://www.imdb.com/title/tt0118849/"
"2","tt0114709","Sun Jul  1 23:32:22 2012","Sun Jul  1 23:32:22 2012","","Toy Story","Feature Film","John Lasseter","8.3","81","1995","animation, adventure, comedy, family, fantasy","287129","1995-11-19","http://www.imdb.com/title/tt0114709/"
"3","tt0120363","Sun Jul  1 23:32:37 2012","Sun Jul  1 23:32:37 2012","","Toy Story 2","Feature Film","John Lasseter, Ash Brannon","8.0","92","1999","animation, adventure, comedy, family, fantasy","203885","1999-11-13","http://www.imdb.com/title/tt0120363/"
"4","tt0435761","Sun Jul  1 23:32:44 2012","Sun Jul  1 23:32:44 2012","","Toy Story 3","Feature Film","Lee Unkrich","8.5","103","2010","animation, adventure, comedy, family, fantasy","247175","2010-06-12","http://www.imdb.com/title/tt0435761/"
"5","tt0070608","Mon Jul  2 00:30:02 2012","Mon Jul  2 00:30:02 2012","","Robin Hood","Feature Film","Wolfgang Reitherman","7.5","83","1973","animation, adventure, comedy, family, romance","37478","1973-11-08","http://www.imdb.com/title/tt0070608/"
"6","tt0382932","Sun Jul  1 23:35:09 2012","Sun Jul  1 23:35:09 2012","","Ratatouille","Feature Film","Brad Bird, Jan Pinkava","8.0","111","2007","animation, comedy, family, fantasy","245770","2007-06-22","http://www.imdb.com/title/tt0382932/"
"7","tt0317705","Sun Jul  1 23:35:17 2012","Sun Jul  1 23:35:17 2012","","The Incredibles","Feature Film","Brad Bird","8.0","115","2004","animation, action, adventure, family","263249","2004-10-27","http://www.imdb.com/title/tt0317705/"
"8","tt0910970","Sun Jul  1 23:34:21 2012","Sun Jul  1 23:34:21 2012","","WALL·E","Feature Film","Andrew Stanton","8.5","98","2008","animation, adventure, family, romance, sci_fi","339077","2008-06-23","http://www.imdb.com/title/tt0910970/"
"9","tt1049413","Sun Jul  1 23:34:44 2012","Sun Jul  1 23:34:44 2012","","Up","Feature Film","Pete Docter, Bob Peterson","8.3","96","2009","animation, adventure, comedy, drama, family, fantasy","276696","2009-05-13","http://www.imdb.com/title/tt1049413/"
"10","tt0191043","Sun Jul  1 23:37:26 2012","Sun Jul  1 23:37:26 2012","","The Color of Paradise","Feature Film","Majid Majidi","7.9","90","1999","drama, family","6052","1999-02-08","http://www.imdb.com/title/tt0191043/"
"11","tt1323594","Sun Jul  1 23:38:25 2012","Sun Jul  1 23:38:25 2012","","Despicable Me","Feature Film","Pierre Coffin, Chris Renaud","7.6","95","2010","animation, comedy, crime, family","124133","2010-06-20","http://www.imdb.com/title/tt1323594/"
"12","tt0298148","Sun Jul  1 23:37:43 2012","Sun Jul  1 23:37:43 2012","","Shrek 2","Feature Film","Andrew Adamson, Kelly Asbury","7.3","93","2004","animation, adventure, comedy, family, fantasy","168751","2004-05-15","http://www.imdb.com/title/tt0298148/"
"13","tt0266543","Sun Jul  1 23:38:19 2012","Sun Jul  1 23:38:19 2012","","Finding Nemo","Feature Film","Andrew Stanton, Lee Unkrich","8.1","100","2003","animation, adventure, comedy, family","315747","2003-05-30","http://www.imdb.com/title/tt0266543/"
"14","tt0033563","Mon Jul  2 00:16:21 2012","Mon Jul  2 00:16:21 2012","","Dumbo","Feature Film","Sam Armstrong, Norman Ferguson","7.4","64","1941","animation, family, musical","39688","1941-10-23","http://www.imdb.com/title/tt0033563/"
"15","tt0099785","Sun Jul  1 23:39:56 2012","Sun Jul  1 23:39:56 2012","","Home Alone","Feature Film","Chris Columbus","7.2","103","1990","adventure, comedy, family","146863","1990-11-10","http://www.imdb.com/title/tt0099785/"
"16","tt0104431","Sun Jul  1 23:40:04 2012","Sun Jul  1 23:40:04 2012","","Home Alone 2: Lost in New York","Feature Film","Chris Columbus","6.2","120","1992","adventure, comedy, crime, family","92480","1992-11-15","http://www.imdb.com/title/tt0104431/"
