"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"1","tt0120338","Sun Jul  8 06:13:32 2012","Sun Jul  8 06:13:32 2012","","Titanic","Feature Film","James Cameron","7.6","194","1997","drama, romance","418648","1997-11-01","http://www.imdb.com/title/tt0120338/"
"2","tt0211915","Fri Jul  6 01:31:09 2012","Fri Jul  6 01:31:09 2012","","Amélie","Feature Film","Jean-Pierre Jeunet","8.5","122","2001","comedy, romance","288961","2001-04-25","http://www.imdb.com/title/tt0211915/"
"3","tt0070608","Sun Jul  8 06:14:31 2012","Sun Jul  8 06:14:31 2012","","Robin Hood","Feature Film","Wolfgang Reitherman","7.5","83","1973","animation, adventure, comedy, family, romance","37478","1973-11-08","http://www.imdb.com/title/tt0070608/"
"4","tt0213847","Sun Jul  8 06:17:06 2012","Sun Jul  8 06:17:06 2012","","Malèna","Feature Film","Giuseppe Tornatore","7.4","109","2000","comedy, drama, romance, war","36433","2000-10-27","http://www.imdb.com/title/tt0213847/"
"5","tt0120731","Sun Jul  8 05:54:28 2012","Sun Jul  8 05:54:28 2012","","The Legend of 1900","Feature Film","Giuseppe Tornatore","7.9","170","1998","drama, music, romance","22705","1998-10-28","http://www.imdb.com/title/tt0120731/"
"6","tt0344510","Sun Jul  8 06:04:36 2012","Sun Jul  8 06:04:36 2012","","A Very Long Engagement","Feature Film","Jean-Pierre Jeunet","7.7","133","2004","drama, mystery, romance, war","43735","2004-10-27","http://www.imdb.com/title/tt0344510/"
"7","tt0118694","Fri Jul  6 01:32:29 2012","Fri Jul  6 01:32:29 2012","","In the Mood for Love","Feature Film","Kar Wai Wong","8.1","98","2000","drama, romance","39683","2000-05-20","http://www.imdb.com/title/tt0118694/"
"8","tt0109830","Fri Jul  6 01:31:47 2012","Fri Jul  6 01:31:47 2012","","Forrest Gump","Feature Film","Robert Zemeckis","8.7","142","1994","drama, romance","550551","1994-06-23","http://www.imdb.com/title/tt0109830/"
"9","tt0910970","Sun Jul  8 05:55:43 2012","Sun Jul  8 05:55:43 2012","","WALL·E","Feature Film","Andrew Stanton","8.5","98","2008","animation, adventure, family, romance, sci_fi","339077","2008-06-23","http://www.imdb.com/title/tt0910970/"
"10","tt0059113","Sun Jul  8 05:51:41 2012","Sun Jul  8 05:51:41 2012","","Doctor Zhivago","Feature Film","David Lean","8.0","197","1965","drama, history, romance, war","37357","1965-12-22","http://www.imdb.com/title/tt0059113/"
"11","tt1125849","Sun Jul  8 05:50:35 2012","Sun Jul  8 05:50:35 2012","","The Wrestler","Feature Film","Darren Aronofsky","8.0","109","2008","drama, romance, sport","171142","2008-09-05","http://www.imdb.com/title/tt1125849/"
"12","tt0027977","Sun Jul  8 05:50:05 2012","Sun Jul  8 05:50:05 2012","","Modern Times","Feature Film","Charlie Chaplin","8.6","87","1936","comedy, drama, family","62426","1936-02-05","http://www.imdb.com/title/tt0027977/"
"13","tt0233841","Sun Jul  8 06:34:56 2012","Sun Jul  8 06:34:56 2012","","Baran","Feature Film","Majid Majidi","7.6","94","2001","drama, romance","3517","2001-01-31","http://www.imdb.com/title/tt0233841/"
"14","tt0907657","Sun Jul  8 05:51:56 2012","Sun Jul  8 05:51:56 2012","","Once","Feature Film","John Carney","7.9","85","2006","drama, music, romance","52937","2006-07-15","http://www.imdb.com/title/tt0907657/"
"15","tt0421715","Sun Jul  8 05:52:43 2012","Sun Jul  8 05:52:43 2012","","The Curious Case of Benjamin Button","Feature Film","David Fincher","7.8","166","2008","drama, fantasy, mystery, romance","248715","2008-12-10","http://www.imdb.com/title/tt0421715/"
"16","tt0021749","Sun Jul  8 05:55:26 2012","Sun Jul  8 05:55:26 2012","","City Lights","Feature Film","Charles Chaplin","8.6","87","1931","comedy, drama, romance","49785","1931-01-30","http://www.imdb.com/title/tt0021749/"
"17","tt0107822","Sun Jul  8 06:14:07 2012","Sun Jul  8 06:14:07 2012","","The Piano","Feature Film","Jane Campion","7.5","121","1993","drama, romance","41247","1993-05-15","http://www.imdb.com/title/tt0107822/"
"18","tt0338013","Sun Jul  8 05:55:57 2012","Sun Jul  8 05:55:57 2012","","Eternal Sunshine of the Spotless Mind","Feature Film","Michel Gondry","8.4","108","2004","drama, romance, sci_fi","356283","2004-03-19","http://www.imdb.com/title/tt0338013/"
"19","tt0095250","Sun Jul  8 06:15:53 2012","Sun Jul  8 06:15:53 2012","","The Big Blue","Feature Film","Luc Besson","7.5","","1988","adventure, drama, romance","24604","1988-05-11","http://www.imdb.com/title/tt0095250/"
"20","tt0159365","Sun Jul  8 06:25:56 2012","Sun Jul  8 06:25:56 2012","","Cold Mountain","Feature Film","Anthony Minghella","7.2","154","2003","drama, romance, war","77805","2003-12-25","http://www.imdb.com/title/tt0159365/"
"21","tt0044081","Sun Jul  8 05:50:13 2012","Sun Jul  8 05:50:13 2012","","A Streetcar Named Desire","Feature Film","Elia Kazan","8.1","122","1951","drama","50566","1951-09-18","http://www.imdb.com/title/tt0044081/"
"22","tt0015864","Sun Jul  8 05:56:37 2012","Sun Jul  8 05:56:37 2012","","The Gold Rush","Feature Film","Charles Chaplin","8.3","","1925","adventure, comedy, family, romance, western","33669","1925-06-26","http://www.imdb.com/title/tt0015864/"
"23","tt0426931","Sun Jul  8 06:16:05 2012","Sun Jul  8 06:16:05 2012","","August Rush","Feature Film","Kirsten Sheridan","7.4","114","2007","drama, music","51639","2007-10-06","http://www.imdb.com/title/tt0426931/"
"24","tt0246677","Sun Jul  8 06:29:39 2012","Sun Jul  8 06:29:39 2012","","Heaven","Feature Film","Tom Tykwer","7.1","97","2002","crime, drama, romance, thriller","15322","2002-02-06","http://www.imdb.com/title/tt0246677/"
