"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"1","tt1375666","Fri Jul  6 01:36:03 2012","Fri Jul  6 01:36:03 2012","","Inception","Feature Film","Christopher Nolan","8.8","148","2010","action, adventure, mystery, sci_fi, thriller","647470","2010-07-08","http://www.imdb.com/title/tt1375666/"
"2","tt0103064","Fri Jul  6 01:36:35 2012","Fri Jul  6 01:36:35 2012","","Terminator 2: Judgment Day","Feature Film","James Cameron","8.6","137","1991","action, sci_fi, thriller","391566","1991-07-01","http://www.imdb.com/title/tt0103064/"
"3","tt0181689","Sun Jul  8 13:46:43 2012","Sun Jul  8 13:46:43 2012","","Minority Report","Feature Film","Steven Spielberg","7.7","145","2002","action, mystery, sci_fi, thriller","229208","2002-06-17","http://www.imdb.com/title/tt0181689/"
"4","tt0499549","Sun Jul  8 13:43:40 2012","Sun Jul  8 13:43:40 2012","","Avatar","Feature Film","James Cameron","8.0","162","2009","action, adventure, fantasy, sci_fi","498039","2009-12-10","http://www.imdb.com/title/tt0499549/"
"5","tt0133093","Fri Jul  6 01:36:41 2012","Fri Jul  6 01:36:41 2012","","The Matrix","Feature Film","The Wachowski Brothers, The Wachowski Brothers","8.7","136","1999","action, adventure, sci_fi","620977","1999-03-31","http://www.imdb.com/title/tt0133093/"
"6","tt0910970","Sun Jul  8 13:47:06 2012","Sun Jul  8 13:47:06 2012","","WALL·E","Feature Film","Andrew Stanton","8.5","98","2008","animation, adventure, family, romance, sci_fi","339077","2008-06-23","http://www.imdb.com/title/tt0910970/"
"7","tt0088763","Sun Jul  8 13:47:21 2012","Sun Jul  8 13:47:21 2012","","Back to the Future","Feature Film","Robert Zemeckis","8.5","116","1985","adventure, comedy, sci_fi","343682","1985-07-03","http://www.imdb.com/title/tt0088763/"
"8","tt0062622","Sun Jul  8 13:47:43 2012","Sun Jul  8 13:47:43 2012","","2001: A Space Odyssey","Feature Film","Stanley Kubrick","8.4","141","1968","adventure, sci_fi","230025","1968-04-02","http://www.imdb.com/title/tt0062622/"
"9","tt0083866","Sun Jul  8 13:48:48 2012","Sun Jul  8 13:48:48 2012","","E.T. the Extra-Terrestrial","Feature Film","Steven Spielberg","7.9","115","1982","adventure, drama, family, fantasy, sci_fi","167493","1982-05-26","http://www.imdb.com/title/tt0083866/"
"10","tt0434409","Sun Jul  8 13:59:42 2012","Sun Jul  8 13:59:42 2012","","V for Vendetta","Feature Film","James McTeigue","8.2","132","2005","action, sci_fi, thriller","402153","2005-12-11","http://www.imdb.com/title/tt0434409/"
"11","tt0114746","Sun Jul  8 13:48:06 2012","Sun Jul  8 13:48:06 2012","","Twelve Monkeys","Feature Film","Terry Gilliam","8.1","129","1995","mystery, sci_fi, thriller","260640","1995-12-27","http://www.imdb.com/title/tt0114746/"
"12","tt0088247","Sun Jul  8 14:00:04 2012","Sun Jul  8 14:00:04 2012","","The Terminator","Feature Film","James Cameron","8.1","107","1984","action, sci_fi","305519","1984-10-26","http://www.imdb.com/title/tt0088247/"
"13","tt0212720","Sun Jul  8 14:11:58 2012","Sun Jul  8 14:11:58 2012","","A.I. Artificial Intelligence","Feature Film","Steven Spielberg","7.0","146","2001","adventure, drama, sci_fi","146866","2001-06-26","http://www.imdb.com/title/tt0212720/"
"14","tt0884328","Sun Jul  8 14:06:45 2012","Sun Jul  8 14:06:45 2012","","The Mist","Feature Film","Frank Darabont","7.3","126","2007","horror, sci_fi, thriller","129515","2007-11-21","http://www.imdb.com/title/tt0884328/"
"15","tt0234215","Sun Jul  8 14:10:43 2012","Sun Jul  8 14:10:43 2012","","The Matrix Reloaded","Feature Film","The Wachowski Brothers, The Wachowski Brothers","7.1","138","2003","action, sci_fi","251039","2003-05-07","http://www.imdb.com/title/tt0234215/"
"16","tt0075860","Sun Jul  8 13:49:00 2012","Sun Jul  8 13:49:00 2012","","Close Encounters of the Third Kind","Feature Film","Steven Spielberg","7.8","","1977","adventure, drama, sci_fi","86729","1977-11-15","http://www.imdb.com/title/tt0075860/"
"17","tt0120382","Sun Jul  8 14:00:14 2012","Sun Jul  8 14:00:14 2012","","The Truman Show","Feature Film","Peter Weir","8.0","103","1998","comedy, drama, sci_fi","303327","1998-06-01","http://www.imdb.com/title/tt0120382/"
"18","tt0338013","Sun Jul  8 13:59:04 2012","Sun Jul  8 13:59:04 2012","","Eternal Sunshine of the Spotless Mind","Feature Film","Michel Gondry","8.4","108","2004","drama, romance, sci_fi","356283","2004-03-19","http://www.imdb.com/title/tt0338013/"
