"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"1","tt1139797","Thu Oct 18 10:36:59 2012","Thu Oct 18 10:36:59 2012","","Let the Right One In","Feature Film","Tomas Alfredson","8.0","115","2008","drama, horror, romance","113560","2008-01-26","http://www.imdb.com/title/tt1139797/"
"2","tt0365376","Thu Oct 18 10:39:09 2012","Thu Oct 18 10:39:09 2012","","A Tale of Two Sisters","Feature Film","Jee-woon Kim","7.3","115","2003","drama, horror, mystery, thriller","25638","2003-06-13","http://www.imdb.com/title/tt0365376/"
"3","tt0762073","Thu Oct 18 10:39:32 2012","Thu Oct 18 10:39:32 2012","","Thirst","Feature Film","Chan-wook Park","7.1","133","2009","horror","17476","2009-04-30","http://www.imdb.com/title/tt0762073/"
"4","tt0361668","Thu Oct 18 10:39:57 2012","Thu Oct 18 10:39:57 2012","","Gozu","Feature Film","Takashi Miike","7.1","129","2003","crime, drama, horror, mystery, thriller","5684","2003-05-17","http://www.imdb.com/title/tt0361668/"
"5","tt1029234","Thu Oct 18 10:40:19 2012","Thu Oct 18 10:40:19 2012","","Martyrs","Feature Film","Pascal Laugier","7.0","99","2008","drama, horror, thriller","29702","2008-05","http://www.imdb.com/title/tt1029234/"
"6","tt0144084","Thu Oct 18 10:41:02 2012","Thu Oct 18 10:41:02 2012","","American Psycho","Feature Film","Mary Harron","7.6","102","2000","crime, drama","184468","2000-01-21","http://www.imdb.com/title/tt0144084/"
"7","tt1038988","Thu Oct 18 10:41:30 2012","Thu Oct 18 10:41:30 2012","","[Rec]","Feature Film","Jaume Balagueró, Paco Plaza","7.6","78","2007","horror, thriller","74336","2007-08-29","http://www.imdb.com/title/tt1038988/"
"8","tt0435625","Thu Oct 18 10:41:52 2012","Thu Oct 18 10:41:52 2012","","The Descent","Feature Film","Neil Marshall","7.3","99","2005","adventure, horror","92014","2005-03-11","http://www.imdb.com/title/tt0435625/"
"9","tt0289043","Thu Oct 18 10:42:26 2012","Thu Oct 18 10:42:26 2012","","28 Days Later...","Feature Film","Danny Boyle","7.6","113","2002","horror, sci_fi, thriller","174164","2002-11-01","http://www.imdb.com/title/tt0289043/"
"10","tt0463854","Thu Oct 18 10:42:43 2012","Thu Oct 18 10:42:43 2012","","28 Weeks Later","Feature Film","Juan Carlos Fresnadillo","7.0","100","2007","horror, sci_fi, thriller","122908","2007-04-26","http://www.imdb.com/title/tt0463854/"
