"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"1","tt0013086","Fri Aug 31 09:34:58 2012","Fri Aug 31 09:34:58 2012","","Dr. Mabuse: The Gambler","Feature Film","Fritz Lang","7.8","242","1922","crime, mystery, thriller","3160","1922-04-27","http://www.imdb.com/title/tt0013086/"
"2","tt0022100","Thu Aug  2 02:00:15 2012","Thu Aug  2 02:00:15 2012","","M","Feature Film","Fritz Lang","8.5","117","1931","drama, film_noir, thriller","58161","1931-05-11","http://www.imdb.com/title/tt0022100/"
"3","tt0030341","Thu Oct 25 09:11:46 2012","Thu Oct 25 09:11:46 2012","","The Lady Vanishes","Feature Film","Alfred Hitchcock","8.1","96","1938","comedy, mystery, thriller","23279","1938-08","http://www.imdb.com/title/tt0030341/"
"4","tt0032976","Thu Aug  2 02:01:08 2012","Thu Aug  2 02:01:08 2012","","Rebecca","Feature Film","Alfred Hitchcock","8.3","130","1940","drama, mystery, romance, thriller","50869","1940-03-27","http://www.imdb.com/title/tt0032976/"
"5","tt0034248","Thu Oct 25 09:12:04 2012","Thu Oct 25 09:12:04 2012","","Suspicion","Feature Film","Alfred Hitchcock","7.5","99","1941","film_noir, mystery, romance, thriller","14311","1941-11-14","http://www.imdb.com/title/tt0034248/"
"6","tt0035279","Fri Aug 31 09:35:32 2012","Fri Aug 31 09:35:32 2012","","Saboteur","Feature Film","Alfred Hitchcock","7.3","","1942","action, thriller","10548","1942-04-22","http://www.imdb.com/title/tt0035279/"
"7","tt0035753","Fri Aug 31 09:34:30 2012","Fri Aug 31 09:34:30 2012","","Le Corbeau: The Raven","Feature Film","Henri Georges Clouzot","7.9","92","1943","crime, drama, mystery, thriller","4391","1943-09-28","http://www.imdb.com/title/tt0035753/"
"8","tt0036855","Thu Oct 25 09:12:13 2012","Thu Oct 25 09:12:13 2012","","Gaslight","Feature Film","George Cukor","7.8","114","1944","crime, drama, film_noir, mystery, thriller","10488","1944-05-04","http://www.imdb.com/title/tt0036855/"
"9","tt0037008","Thu Aug  2 02:01:37 2012","Thu Aug  2 02:01:37 2012","","Laura","Feature Film","Otto Preminger","8.1","88","1944","film_noir, mystery, romance, thriller","19162","1944-10-11","http://www.imdb.com/title/tt0037008/"
"10","tt0037635","Thu Aug  2 02:08:06 2012","Thu Aug  2 02:08:06 2012","","Dead of Night","Feature Film","Cavalcanti, Charles Crichton","7.8","103","1945","horror, thriller","4880","1945-09-04","http://www.imdb.com/title/tt0037635/"
"11","tt0038109","Sat Mar 10 03:08:16 2012","Sat Mar 10 03:08:16 2012","","Spellbound","Feature Film","Alfred Hitchcock","7.7","111","1945","film_noir, mystery, romance, thriller","20554","1945-10-31","http://www.imdb.com/title/tt0038109/"
"12","tt0037515","Fri Jun 22 10:15:28 2012","Fri Jun 22 10:15:28 2012","","And Then There Were None","Feature Film","Rene Clair","7.7","97","1945","crime, drama, mystery, thriller","5328","1945-10-31","http://www.imdb.com/title/tt0037515/"
