"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"1","tt0010323","Mon Jun 11 02:33:47 2012","Mon Jun 11 02:33:47 2012","","The Cabinet of Dr. Caligari","Feature Film","Robert Wiene","8.1","","1920","horror","23233","1920-02-26","http://www.imdb.com/title/tt0010323/"
"2","tt0013442","Mon Jun 11 02:33:47 2012","Mon Jun 11 02:33:47 2012","","Nosferatu","Feature Film","F.W. Murnau","8.0","94","1922","horror","43845","1922-03-04","http://www.imdb.com/title/tt0013442/"
"3","tt0016220","Wed Aug  1 07:43:00 2012","Wed Aug  1 07:43:00 2012","","The Phantom of the Opera","Feature Film","Rupert Julian","7.7","93","1925","horror","8137","1925-09-06","http://www.imdb.com/title/tt0016220/"
"4","tt0016847","Mon Jun 11 02:33:47 2012","Mon Jun 11 02:33:47 2012","","Faust","Feature Film","F.W. Murnau","8.1","85","1926","drama, fantasy, horror","6604","1926-10-14","http://www.imdb.com/title/tt0016847/"
"5","tt0021884","Mon Jun 11 02:33:47 2012","Mon Jun 11 02:33:47 2012","","Frankenstein","Feature Film","James Whale","8.0","70","1931","horror, sci_fi","31374","1931-11-21","http://www.imdb.com/title/tt0021884/"
"6","tt0021814","Mon Jun 11 02:33:47 2012","Mon Jun 11 02:33:47 2012","","Dracula","Feature Film","Tod Browning","7.6","","1931","horror","20155","1931-02-12","http://www.imdb.com/title/tt0021814/"
"7","tt0022835","Sat Jul 21 04:14:16 2012","Sat Jul 21 04:14:16 2012","","Dr. Jekyll and Mr. Hyde","Feature Film","Rouben Mamoulian","7.7","98","1931","drama, horror, sci_fi","5934","1931-12-31","http://www.imdb.com/title/tt0022835/"
"8","tt0023649","Wed Aug  1 07:43:56 2012","Wed Aug  1 07:43:56 2012","","Vampyr","Feature Film","Carl Th. Dreyer","7.6","83","1932","horror","6409","1932-05-06","http://www.imdb.com/title/tt0023649/"
"9","tt0024216","Thu Oct 11 08:53:25 2012","Thu Oct 11 08:53:25 2012","","King Kong","Feature Film","","8.0","100","1933","adventure, fantasy, horror","49616","1933-03-07","http://www.imdb.com/title/tt0024216/"
"10","tt0026138","Mon Jun 11 02:33:47 2012","Mon Jun 11 02:33:47 2012","","The Bride of Frankenstein","Feature Film","James Whale","8.0","75","1935","horror, sci_fi","20750","1935-04-22","http://www.imdb.com/title/tt0026138/"
"11","tt0034398","Mon Jun 11 02:33:47 2012","Mon Jun 11 02:33:47 2012","","The Wolf Man","Feature Film","George Waggner","7.4","70","1941","drama, horror","9551","1941-12-09","http://www.imdb.com/title/tt0034398/"
"12","tt0034587","Fri Jul 27 09:27:40 2012","Fri Jul 27 09:27:40 2012","","Cat People","Feature Film","Jacques Tourneur","7.5","73","1942","horror, mystery, romance, thriller","7686","1942-12-06","http://www.imdb.com/title/tt0034587/"
"13","tt0036027","Wed Aug 15 08:34:09 2012","Wed Aug 15 08:34:09 2012","","I Walked with a Zombie","Feature Film","Jacques Tourneur","7.3","69","1943","horror","4897","1943-04-21","http://www.imdb.com/title/tt0036027/"
