"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"1","tt0015648","Mon Jun 11 02:13:02 2012","Mon Jun 11 02:13:02 2012","","Battleship Potemkin","Feature Film","S.M. Eisenstein","8.1","75","1925","drama, history","24635","1925-12-24","http://www.imdb.com/title/tt0015648/"
"2","tt0015624","Fri Aug 31 09:18:19 2012","Fri Aug 31 09:18:19 2012","","The Big Parade","Feature Film","King Vidor","8.2","","1925","drama, romance, war","3380","1925-11-05","http://www.imdb.com/title/tt0015624/"
"3","tt0018578","Mon Jun 11 02:13:03 2012","Mon Jun 11 02:13:03 2012","","Wings","Feature Film","William A. Wellman","7.7","144","1927","drama, romance, war, action","4369","1927-05-19","http://www.imdb.com/title/tt0018578/"
"4","tt0020629","Mon Jun 11 02:13:02 2012","Mon Jun 11 02:13:02 2012","","All Quiet on the Western Front","Feature Film","Lewis Milestone","8.1","136","1930","drama, war","31932","1930-04-21","http://www.imdb.com/title/tt0020629/"
"5","tt0028950","Mon Jun 11 02:13:02 2012","Mon Jun 11 02:13:02 2012","","La Grande Illusion","Feature Film","Jean Renoir","8.1","114","1937","drama, war","17522","1937-06-04","http://www.imdb.com/title/tt0028950/"
"6","tt0031381","Mon Jun 11 02:13:02 2012","Mon Jun 11 02:13:02 2012","","Gone with the Wind","Feature Film","Victor Fleming","8.2","238","1939","drama, romance, war","122866","1939-12-15","http://www.imdb.com/title/tt0031381/"
"7","tt0034583","Mon Jun 11 02:13:02 2012","Mon Jun 11 02:13:02 2012","","Casablanca","Feature Film","Michael Curtiz","8.7","102","1942","drama, romance, war","236075","1942-11-26","http://www.imdb.com/title/tt0034583/"
"8","tt0035884","Fri Aug 31 09:17:04 2012","Fri Aug 31 09:17:04 2012","","Five Graves to Cairo","Feature Film","Billy Wilder","7.5","96","1943","thriller, war","2217","1943-05-04","http://www.imdb.com/title/tt0035884/"
"9","tt0036323","Fri Aug 31 09:23:41 2012","Fri Aug 31 09:23:41 2012","","Sahara","Feature Film","Zoltan Korda","7.5","97","1943","action, drama, war","4095","1943-09-02","http://www.imdb.com/title/tt0036323/"
"10","tt0037824","Fri Aug 31 09:17:24 2012","Fri Aug 31 09:17:24 2012","","Ivan the Terrible, Part I","Feature Film","Sergei Eisenstein","7.6","103","1944","biography, history","4631","1944-12-30","http://www.imdb.com/title/tt0037824/"
"11","tt0036868","Mon Jun 11 02:13:02 2012","Mon Jun 11 02:13:02 2012","","The Best Years of Our Lives","Feature Film","William Wyler","8.2","172","1946","drama, romance, war","23857","1946-11-21","http://www.imdb.com/title/tt0036868/"
