"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"1","tt0112281","Mon Feb  6 08:24:46 2012","Mon Feb  6 08:24:46 2012","","Ace Ventura: When Nature Calls","Feature Film","Steve Oedekerk","6.0","90","1995","action, adventure, comedy, mystery","89671","1995-11-10","http://www.imdb.com/title/tt0112281/"
"2","tt0113855","Mon Feb  6 08:24:54 2012","Mon Feb  6 08:24:54 2012","","Mortal Kombat","Feature Film","Paul Anderson","5.6","101","1995","action, adventure, fantasy, sci_fi, thriller","49690","1995-07-13","http://www.imdb.com/title/tt0113855/"
"3","tt0115798","Mon Feb  6 08:25:05 2012","Mon Feb  6 08:25:05 2012","","The Cable Guy","Feature Film","Ben Stiller","5.9","96","1996","comedy, drama","76296","1996-06-10","http://www.imdb.com/title/tt0115798/"
"4","tt0107977","Mon Feb  6 08:25:20 2012","Mon Feb  6 08:25:20 2012","","Robin Hood: Men in Tights","Feature Film","Mel Brooks","6.5","104","1993","adventure, comedy, musical","55047","1993-07-28","http://www.imdb.com/title/tt0107977/"
"5","tt0117705","Mon Feb  6 08:25:38 2012","Mon Feb  6 08:25:38 2012","","Space Jam","Feature Film","Joe Pytka","5.8","88","1996","animation, adventure, comedy, family, sci_fi, sport","53455","1996-11-10","http://www.imdb.com/title/tt0117705/"
"6","tt0118689","Mon Feb  6 08:25:50 2012","Mon Feb  6 08:25:50 2012","","Bean","Feature Film","Mel Smith","6.0","85","1997","comedy, family","44988","1997-07-03","http://www.imdb.com/title/tt0118689/"
"7","tt0448011","Mon Feb  6 08:26:05 2012","Mon Feb  6 08:26:05 2012","","Knowing","Feature Film","Alex Proyas","6.2","121","2009","drama, mystery, sci_fi, thriller","114735","2009-03-09","http://www.imdb.com/title/tt0448011/"
"8","tt0113497","Mon Feb  6 08:26:16 2012","Mon Feb  6 08:26:16 2012","","Jumanji","Feature Film","Joe Johnston","6.6","104","1995","adventure, family, fantasy, thriller","97387","1995-12-15","http://www.imdb.com/title/tt0113497/"
"9","tt1320253","Mon Feb  6 08:26:27 2012","Mon Feb  6 08:26:27 2012","","The Expendables","Feature Film","Sylvester Stallone","6.5","103","2010","action, thriller","145954","2010-08-03","http://www.imdb.com/title/tt1320253/"
"10","tt0362120","Mon Feb  6 08:26:52 2012","Mon Feb  6 08:26:52 2012","","Scary Movie 4","Feature Film","David Zucker","5.0","83","2006","comedy","59786","2006-04-12","http://www.imdb.com/title/tt0362120/"
