"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"1","tt0031381","Sun Oct  2 14:42:27 2011","Sun Oct  2 14:42:27 2011","","Gone with the Wind","Feature Film","Victor Fleming","8.2","238","1939","drama, romance, war","122866","1939-12-15","http://www.imdb.com/title/tt0031381/"
"2","tt0094737","Sun Oct  2 15:15:28 2011","Sun Oct  2 15:15:28 2011","","Big","Feature Film","Penny Marshall","7.2","104","1988","comedy, drama, family, fantasy, romance","85384","1988-06-03","http://www.imdb.com/title/tt0094737/"
"3","tt0100436","Sun Oct  2 14:19:36 2011","Sun Oct  2 14:19:36 2011","","Pump Up the Volume","Feature Film","Allan Moyle","6.9","102","1990","drama, music","14887","1990-08-22","http://www.imdb.com/title/tt0100436/"
"4","tt0110950","Sun Oct  2 14:05:37 2011","Sun Oct  2 14:05:37 2011","","Reality Bites","Feature Film","Ben Stiller","6.4","99","1994","comedy, drama, romance","23578","1994-02-18","http://www.imdb.com/title/tt0110950/"
"5","tt0109830","Sun Oct  2 14:19:13 2011","Sun Oct  2 14:19:13 2011","","Forrest Gump","Feature Film","Robert Zemeckis","8.7","142","1994","drama, romance","550551","1994-06-23","http://www.imdb.com/title/tt0109830/"
"6","tt0114388","Sun Oct  2 14:07:59 2011","Sun Oct  2 14:07:59 2011","","Sense and Sensibility","Feature Film","Ang Lee","7.7","136","1995","drama, romance","46458","1995-12-13","http://www.imdb.com/title/tt0114388/"
"7","tt0118799","Sun Oct  2 14:25:50 2011","Sun Oct  2 14:25:50 2011","","Life Is Beautiful","Feature Film","Roberto Benigni","8.5","116","1997","comedy, drama, romance, war","185149","1997-12-20","http://www.imdb.com/title/tt0118799/"
"8","tt0120338","Sun Oct  2 14:16:14 2011","Sun Oct  2 14:16:14 2011","","Titanic","Feature Film","James Cameron","7.6","194","1997","drama, romance","418648","1997-11-01","http://www.imdb.com/title/tt0120338/"
"9","tt0147800","Sun Oct  2 14:04:13 2011","Sun Oct  2 14:04:13 2011","","10 Things I Hate About You","Feature Film","Gil Junger","7.0","97","1999","comedy, romance","115085","1999-03-31","http://www.imdb.com/title/tt0147800/"
"10","tt0265930","Sun Oct  2 14:27:20 2011","Sun Oct  2 14:27:20 2011","","The Last Kiss","Feature Film","Gabriele Muccino","6.9","115","2001","comedy, drama, romance","5174","2001-02-02","http://www.imdb.com/title/tt0265930/"
"11","tt0211915","Sun Oct  2 14:20:24 2011","Sun Oct  2 14:20:24 2011","","Amélie","Feature Film","Jean-Pierre Jeunet","8.5","122","2001","comedy, romance","288961","2001-04-25","http://www.imdb.com/title/tt0211915/"
"12","tt0314331","Sun Oct  2 14:13:21 2011","Sun Oct  2 14:13:21 2011","","Love Actually","Feature Film","Richard Curtis","7.8","135","2003","comedy, drama, romance","173880","2003-09-07","http://www.imdb.com/title/tt0314331/"
"13","tt0332280","Sun Oct  2 13:53:07 2011","Sun Oct  2 13:53:07 2011","","The Notebook","Feature Film","Nick Cassavetes","7.9","123","2004","drama, romance","196782","2004-05-20","http://www.imdb.com/title/tt0332280/"
"14","tt0338013","Sun Oct  2 14:16:52 2011","Sun Oct  2 14:16:52 2011","","Eternal Sunshine of the Spotless Mind","Feature Film","Michel Gondry","8.4","108","2004","drama, romance, sci_fi","356283","2004-03-19","http://www.imdb.com/title/tt0338013/"
"15","tt0414387","Sun Oct  2 14:08:14 2011","Sun Oct  2 14:08:14 2011","","Pride & Prejudice","Feature Film","Joe Wright","7.7","127","2005","drama, romance","101421","2005-07-25","http://www.imdb.com/title/tt0414387/"
"16","tt0462590","Sun Oct  2 13:59:00 2011","Sun Oct  2 13:59:00 2011","","Step Up","Feature Film","Anne Fletcher","6.2","104","2006","crime, drama, music, romance","44221","2006-08-07","http://www.imdb.com/title/tt0462590/"
"17","tt0431308","Sun Oct  2 14:10:50 2011","Sun Oct  2 14:10:50 2011","","P.S. I Love You","Feature Film","Richard LaGravenese","6.9","126","2007","drama, romance","82735","2007-12-20","http://www.imdb.com/title/tt0431308/"
"18","tt0445922","Sun Oct  2 13:55:48 2011","Sun Oct  2 13:55:48 2011","","Across the Universe","Feature Film","Julie Taymor","7.4","133","2007","drama, musical, romance","64210","2007-09-09","http://www.imdb.com/title/tt0445922/"
"19","tt0795421","Sun Oct  2 14:03:44 2011","Sun Oct  2 14:03:44 2011","","Mamma Mia!","Feature Film","Phyllida Lloyd","6.3","108","2008","comedy, musical, romance","78799","2008-06-30","http://www.imdb.com/title/tt0795421/"
"20","tt1010048","Sun Oct  2 14:02:57 2011","Sun Oct  2 14:02:57 2011","","Slumdog Millionaire","Feature Film","Danny Boyle, Loveleen Tandan","8.1","120","2008","drama, romance, thriller","334650","2008-08-30","http://www.imdb.com/title/tt1010048/"
"21","tt1023481","Sun Oct  2 14:01:29 2011","Sun Oct  2 14:01:29 2011","","Step Up 2: The Streets","Feature Film","Jon M. Chu","5.8","98","2008","drama, music, romance","37849","2008-02-14","http://www.imdb.com/title/tt1023481/"
"22","tt1022603","Sun Oct  2 13:57:07 2011","Sun Oct  2 13:57:07 2011","","(500) Days of Summer","Feature Film","Marc Webb","7.9","95","2009","comedy, drama, romance","188045","2009-01-17","http://www.imdb.com/title/tt1022603/"
"23","tt1001508","Sun Oct  2 14:15:36 2011","Sun Oct  2 14:15:36 2011","","He's Just Not That Into You","Feature Film","Ken Kwapis","6.3","129","2009","comedy, drama, romance","73627","2009-02-05","http://www.imdb.com/title/tt1001508/"
"24","tt1142988","Sun Oct  2 14:10:23 2011","Sun Oct  2 14:10:23 2011","","The Ugly Truth","Feature Film","Robert Luketic","6.4","96","2009","comedy, romance","78974","2009-07-16","http://www.imdb.com/title/tt1142988/"
"25","tt1193631","Sun Oct  2 13:59:22 2011","Sun Oct  2 13:59:22 2011","","Step Up 3D","Feature Film","Jon M. Chu","5.7","107","2010","drama, music, romance","23232","2010-08-04","http://www.imdb.com/title/tt1193631/"
"26","tt1403981","Sun Oct  2 14:17:10 2011","Sun Oct  2 14:17:10 2011","","Remember Me","Feature Film","Allen Coulter","7.1","113","2010","drama, romance","57590","2010-03-01","http://www.imdb.com/title/tt1403981/"
"27","tt0119738","Sun Oct  2 14:32:04 2011","Sun Oct  2 14:32:04 2011","","My Best Friend's Wedding","Feature Film","P.J. Hogan","6.2","105","1997","comedy, romance","59889","1997-06-20","http://www.imdb.com/title/tt0119738/"
"28","tt0758752","Sun Oct  2 14:20:05 2011","Sun Oct  2 14:20:05 2011","","Love and Other Drugs","Feature Film","Edward Zwick","6.6","112","2010","comedy, drama, romance","68470","2010-11-04","http://www.imdb.com/title/tt0758752/"
"29","tt1411238","Sun Oct  2 14:12:51 2011","Sun Oct  2 14:12:51 2011","","No Strings Attached","Feature Film","Ivan Reitman","6.1","108","2011","comedy, romance","81018","2011-01-11","http://www.imdb.com/title/tt1411238/"
