"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"1","tt0017136","Mon Jun 11 01:34:02 2012","Thu Oct 11 08:33:00 2012","","Metropolis","Feature Film","Fritz Lang","8.4","153","1927","drama, sci_fi","62008","1927-01-10","http://www.imdb.com/title/tt0017136/"
"2","tt0019901","Fri Aug 31 09:23:07 2012","Thu Oct 11 08:32:58 2012","","By Rocket to the Moon","Feature Film","Fritz Lang","7.2","156","1929","comedy, drama, romance, sci_fi","1089","1929-10-15","http://www.imdb.com/title/tt0019901/"
"3","tt0022835","Sat Jul 21 04:12:06 2012","Thu Oct 11 08:32:56 2012","","Dr. Jekyll and Mr. Hyde","Feature Film","Rouben Mamoulian","7.7","98","1931","drama, horror, sci_fi","5934","1931-12-31","http://www.imdb.com/title/tt0022835/"
"4","tt0024184","Mon Jun 11 01:34:03 2012","Thu Oct 11 08:32:54 2012","","The Invisible Man","Feature Film","James Whale","7.7","71","1933","drama, horror, sci_fi, thriller","12171","1933-11-13","http://www.imdb.com/title/tt0024184/"
"5","tt0028358","Wed Aug 15 08:36:41 2012","Thu Oct 11 08:32:52 2012","","Things to Come","Feature Film","William Cameron Menzies","6.7","100","1936","sci_fi","2943","1936-02-20","http://www.imdb.com/title/tt0028358/"
"6","tt0043456","Mon Jun 11 01:34:02 2012","Thu Oct 11 08:32:51 2012","","The Day the Earth Stood Still","Feature Film","Robert Wise","7.9","92","1951","drama, horror, sci_fi, thriller","47021","1951-09-18","http://www.imdb.com/title/tt0043456/"
"7","tt0044876","Sat Jul 21 04:16:35 2012","Thu Oct 11 08:32:49 2012","","The Man in the White Suit","Feature Film","Alexander Mackendrick","7.5","85","1951","comedy, sci_fi, drama","4098","1951-08-07","http://www.imdb.com/title/tt0044876/"
"8","tt0044121","Thu Jul  5 08:45:09 2012","Thu Oct 11 08:32:47 2012","","The Thing from Another World","Feature Film","Christian Nyby","7.3","87","1951","horror, sci_fi","11855","1951-04-06","http://www.imdb.com/title/tt0044121/"
"9","tt0046534","Mon Jun 11 02:11:02 2012","Thu Oct 11 08:32:45 2012","","The War of the Worlds","Feature Film","Byron Haskin","7.1","85","1953","action, horror, sci_fi, thriller","16847","1953-07-29","http://www.imdb.com/title/tt0046534/"
"10","tt0047573","Thu Jul  5 08:44:33 2012","Thu Oct 11 08:32:43 2012","","Them!","Feature Film","Gordon Douglas","7.3","94","1954","horror, sci_fi","9391","1954-06-16","http://www.imdb.com/title/tt0047573/"
"11","tt0047034","Mon Jun 11 01:34:03 2012","Thu Oct 11 08:32:42 2012","","Godzilla","Feature Film","Ishirô Honda","7.3","96","1954","drama, horror, sci_fi, thriller","8809","1954-11-03","http://www.imdb.com/title/tt0047034/"
"12","tt0049223","Mon Jun 11 01:34:03 2012","Thu Oct 11 08:32:40 2012","","Forbidden Planet","Feature Film","Fred McLeod Wilcox","7.7","98","1956","action, adventure, sci_fi","21789","1956-03-15","http://www.imdb.com/title/tt0049223/"
"13","tt0049366","Mon Jun 11 01:34:02 2012","Thu Oct 11 08:32:38 2012","","Invasion of the Body Snatchers","Feature Film","Don Siegel","7.9","80","1956","horror, sci_fi","21314","1956-02-05","http://www.imdb.com/title/tt0049366/"
"14","tt0050539","Sat Jul 21 04:17:43 2012","Thu Oct 11 08:32:36 2012","","The Incredible Shrinking Man","Feature Film","Jack Arnold","7.7","81","1957","sci_fi, thriller","6963","1957-02-22","http://www.imdb.com/title/tt0050539/"
"15","tt0051622","Thu Jul 19 09:40:48 2012","Thu Oct 11 08:32:34 2012","","The Fly","Feature Film","Kurt Neumann","7.0","94","1958","horror, sci_fi","8699","1958-07-16","http://www.imdb.com/title/tt0051622/"
"16","tt0053137","Thu Jul  5 08:43:25 2012","Thu Oct 11 08:32:33 2012","","On the Beach","Feature Film","Stanley Kramer","7.3","134","1959","drama, sci_fi","6257","1959-12-17","http://www.imdb.com/title/tt0053137/"
"17","tt0054443","Mon Jun 11 01:34:03 2012","Thu Oct 11 08:32:31 2012","","Village of the Damned","Feature Film","Wolf Rilla","7.3","77","1960","horror, mystery, sci_fi","6586","1960-07","http://www.imdb.com/title/tt0054443/"
"18","tt0054387","Thu Sep 27 09:39:27 2012","Thu Oct 11 08:32:30 2012","","The Time Machine","Feature Film","George Pal","7.5","103","1960","adventure, romance, sci_fi, thriller","15743","1960-08-17","http://www.imdb.com/title/tt0054387/"
"19","tt0056119","Mon Jun 11 01:34:03 2012","Thu Oct 11 08:32:28 2012","","La Jetée","Short Film","Chris Marker","8.3","28","1962","drama, romance, sci_fi","11785","1962-02-16","http://www.imdb.com/title/tt0056119/"
"20","tt0058700","Sat Jul 21 04:18:21 2012","Thu Oct 11 08:32:26 2012","","The Last Man on Earth","Feature Film","Ubaldo B. Ragona","6.9","86","1964","action, drama, horror, sci_fi, thriller","8090","1964-03-08","http://www.imdb.com/title/tt0058700/"
"21","tt0060390","Sat Jul 21 04:18:44 2012","Thu Oct 11 08:32:22 2012","","Fahrenheit 451","Feature Film","François Truffaut","7.2","112","1966","drama, sci_fi, thriller","20062","1966-09-15","http://www.imdb.com/title/tt0060390/"
"22","tt0060397","Thu Jul  5 08:43:57 2012","Thu Oct 11 08:32:21 2012","","Fantastic Voyage","Feature Film","Richard Fleischer","6.8","100","1966","adventure, fantasy, sci_fi","7871","1966-08-24","http://www.imdb.com/title/tt0060397/"
"23","tt0062622","Mon Jun 11 01:34:02 2012","Thu Oct 11 08:32:20 2012","","2001: A Space Odyssey","Feature Film","Stanley Kubrick","8.4","141","1968","adventure, sci_fi","230025","1968-04-02","http://www.imdb.com/title/tt0062622/"
"24","tt0063442","Mon Jun 11 01:34:02 2012","Thu Oct 11 08:32:18 2012","","Planet of the Apes","Feature Film","Franklin J. Schaffner","8.0","112","1968","action, mystery, sci_fi","87581","1968-02-08","http://www.imdb.com/title/tt0063442/"
"25","tt0066434","Mon Jun 11 01:34:03 2012","Thu Oct 11 08:32:19 2012","","THX 1138","Feature Film","George Lucas","6.8","86","1971","drama, mystery, sci_fi, thriller","24729","1971-03-11","http://www.imdb.com/title/tt0066434/"
"26","tt0067525","Mon Jun 11 01:43:42 2012","Thu Oct 11 08:32:16 2012","","The Omega Man","Feature Film","Boris Sagal","6.6","98","1971","action, sci_fi, thriller","14831","1971-08-01","http://www.imdb.com/title/tt0067525/"
"27","tt0066769","Mon Jun 11 01:34:03 2012","Thu Oct 11 08:32:10 2012","","The Andromeda Strain","Feature Film","Robert Wise","7.2","131","1971","sci_fi, thriller","15365","1971-03-12","http://www.imdb.com/title/tt0066769/"
"28","tt0066921","Mon Jun 11 01:34:02 2012","Thu Oct 11 08:32:09 2012","","A Clockwork Orange","Feature Film","Stanley Kubrick","8.5","136","1971","crime, drama, sci_fi","293517","1971-12-19","http://www.imdb.com/title/tt0066921/"
"29","tt0069293","Mon Jun 11 01:34:03 2012","Thu Oct 11 08:32:07 2012","","Solaris","Feature Film","Andrey Tarkovskiy","8.0","167","1972","drama, mystery, sci_fi","29808","1972-03-20","http://www.imdb.com/title/tt0069293/"
"30","tt0069280","Fri Sep 14 09:27:43 2012","Thu Oct 11 08:32:05 2012","","Slaughterhouse-Five","Feature Film","George Roy Hill","7.0","104","1972","comedy, drama, fantasy, sci_fi, war","6433","1972-03-15","http://www.imdb.com/title/tt0069280/"
"31","tt0067756","Mon Jun 11 01:34:03 2012","Thu Oct 11 08:32:02 2012","","Silent Running","Feature Film","Douglas Trumbull","6.7","89","1972","adventure, drama, sci_fi","11781","1972-03-10","http://www.imdb.com/title/tt0067756/"
"32","tt0070723","Sat Jul 21 04:19:51 2012","Thu Oct 11 08:32:00 2012","","Soylent Green","Feature Film","Richard Fleischer","7.0","97","1973","drama, horror, mystery, sci_fi, thriller","25953","1973-04-19","http://www.imdb.com/title/tt0070723/"
"33","tt0070909","Mon Jun 11 01:34:03 2012","Thu Oct 11 08:31:58 2012","","Westworld","Feature Film","Michael Crichton","7.1","88","1973","action, sci_fi, thriller, western","14494","1973-11-21","http://www.imdb.com/title/tt0070909/"
"34","tt0069945","Thu Jul  5 08:43:38 2012","Thu Oct 11 08:31:56 2012","","Dark Star","Feature Film","John Carpenter","6.5","83","1974","comedy, sci_fi, thriller","10918","1974-04","http://www.imdb.com/title/tt0069945/"
"35","tt0074812","Mon Jun 11 01:43:24 2012","Thu Oct 11 08:31:54 2012","","Logan's Run","Feature Film","Michael Anderson","6.8","119","1976","action, sci_fi, thriller","23349","1976-06-23","http://www.imdb.com/title/tt0074812/"
"36","tt0075860","Mon Jun 11 01:34:02 2012","Thu Oct 11 08:31:52 2012","","Close Encounters of the Third Kind","Feature Film","Steven Spielberg","7.8","","1977","adventure, drama, sci_fi","86729","1977-11-15","http://www.imdb.com/title/tt0075860/"
"37","tt0075931","Sat Jul 21 04:20:30 2012","Thu Oct 11 08:31:50 2012","","Demon Seed","Feature Film","Donald Cammell","6.3","94","1977","horror, sci_fi, thriller","3838","1977-04-08","http://www.imdb.com/title/tt0075931/"
"38","tt0076759","Mon Jun 11 01:34:02 2012","Thu Oct 11 08:31:48 2012","","Star Wars","Feature Film","George Lucas","8.8","121","1977","action, adventure, fantasy, sci_fi","478850","1977-05-25","http://www.imdb.com/title/tt0076759/"
"39","tt0074486","Sat Jul 21 04:11:45 2012","Thu Oct 11 08:31:46 2012","","Eraserhead","Feature Film","David Lynch","7.3","85","1977","fantasy, horror, sci_fi","39351","1977-03-19","http://www.imdb.com/title/tt0074486/"
"40","tt0077745","Mon Jun 11 01:34:02 2012","Thu Oct 11 08:31:45 2012","","Invasion of the Body Snatchers","Feature Film","Philip Kaufman","7.3","115","1978","horror, sci_fi","21353","1978-12-20","http://www.imdb.com/title/tt0077745/"
"41","tt0079501","Sat Jul 21 04:21:06 2012","Thu Oct 11 08:31:43 2012","","Mad Max","Feature Film","George Miller","7.0","88","1979","action, adventure, thriller","69054","1979-04-12","http://www.imdb.com/title/tt0079501/"
"42","tt0079944","Mon Jun 11 01:34:02 2012","Thu Oct 11 08:31:41 2012","","Stalker","Feature Film","Andrey Tarkovskiy","8.1","163","1979","adventure, drama, fantasy, mystery, sci_fi","35111","1979-08","http://www.imdb.com/title/tt0079944/"
"43","tt0078748","Mon Jun 11 01:34:02 2012","Thu Oct 11 08:31:39 2012","","Alien","Feature Film","Ridley Scott","8.5","117","1979","horror, sci_fi","292981","1979-05-25","http://www.imdb.com/title/tt0078748/"
"44","tt0080745","Thu Oct 18 08:52:24 2012","Thu Oct 18 08:52:24 2012","","Flash Gordon","Feature Film","Mike Hodges","6.3","111","1980","action, adventure, sci_fi, thriller","21258","1980-09","http://www.imdb.com/title/tt0080745/"
"45","tt0080684","Mon Jun 11 01:34:02 2012","Thu Oct 11 08:31:38 2012","","Star Wars: Episode V - The Empire Strikes Back","Feature Film","Irvin Kershner","8.8","124","1980","action, adventure, sci_fi","426528","1980-05-17","http://www.imdb.com/title/tt0080684/"
